Tension,Alpha,Beta,Wv,Cv,Ytp1,V,Initial_heel_angle
75,50,-65,18.004,1.029,0.6,-1.029,15.852
75,50,-55,-20.576,-1.029,-0.65,1.029,-0.547
75,50,-55,-18.004,2.058,1.75,-1.543,12.257
75,50,-55,-10.288,0,1.75,0.514,6.676
75,50,-55,0,-2.058,0.6,-2.058,8.07
75,50,-55,5.144,0.514,-0.65,0,7.614
75,50,-55,15.432,-1.029,1.75,2.058,5.177
75,50,-55,18.004,1.543,1.75,-0.514,15.024
75,50,-45,-20.576,-0.514,0.6,1.543,-1.466
75,50,-45,-18.004,2.058,-0.65,-1.029,7.412
75,50,-45,-10.288,0.514,1.75,1.029,5.574
75,50,-45,0,-1.543,1.75,-1.543,7.348
75,50,-45,5.144,1.029,0.6,0.514,6.938
75,50,-45,15.432,-1.029,-0.65,-2.058,10.069
75,50,-45,18.004,2.058,1.75,0,13.792
75,50,-35,-20.576,0,1.75,2.058,-2.4
75,50,-35,-15.432,-2.058,0.6,-0.514,1.255
75,50,-35,-10.288,0.514,0.6,1.543,2.905
75,50,-35,0,-1.029,1.75,-1.029,5.895
75,50,-35,5.144,1.543,1.75,1.029,6.239
75,50,-35,15.432,-0.514,0.6,-1.543,9.311
75,50,-35,18.004,2.058,0.6,0.514,10.282
75,50,-25,-20.576,0.514,1.75,-2.058,3.935
75,50,-25,-15.432,-1.543,1.75,0,0.429
75,50,-25,-10.288,1.029,1.75,2.058,2.113
75,50,-25,0,-1.029,0.6,-0.514,3.627
75,50,-25,5.144,1.543,-0.65,1.543,3.157
75,50,-25,15.432,0,1.75,-1.029,8.424
75,50,-25,20.576,-2.058,1.75,1.029,3.921
75,50,-15,-20.576,0.514,0.6,-1.543,0.416
75,50,-15,-15.432,-1.543,-0.65,0.514,-3.456
75,50,-15,-10.288,1.543,1.75,-2.058,9.415
75,50,-15,0,-0.514,1.75,0,2.943
75,50,-15,5.144,2.058,0.6,2.058,2.508
75,50,-15,15.432,0,-0.65,-0.514,4.776
75,50,-15,20.576,-1.543,1.75,1.543,2.307
75,50,-5,-20.576,1.029,1.75,-1.029,-0.504
75,50,-5,-15.432,-1.029,0.6,1.029,-4.319
75,50,-5,-10.288,1.543,-0.65,-1.543,4.397
75,50,-5,0,0,1.75,0.514,1.556
75,50,-5,10.288,-2.058,1.75,-2.058,3.472
75,50,-5,15.432,0.514,0.6,0,3.936
75,50,-5,20.576,-1.543,0.6,2.058,-1.729
75,55,-85,-18.004,0,1.75,-0.514,6.011
75,55,-85,-10.288,-2.058,1.75,1.543,0.846
75,55,-85,-5.144,0.514,0.6,-1.029,10.735
